pob,indiv,fruto,masa,germina
cabalango,1,1,2.17,1
cabalango,1,2,2.38,1
cabalango,1,3,2.05,1
cabalango,1,4,2.09,1
cabalango,1,5,0.85,0
cabalango,2,1,2.33,1
cabalango,2,2,1.89,1
cabalango,2,3,2.05,1
cabalango,2,4,1.88,1
cabalango,2,5,0.86,0
cabalango,3,1,0.52,0
cabalango,3,2,0.56,0
cabalango,3,3,0.79,0
cabalango,3,4,2.13,0
cabalango,3,5,2.09,1
cabalango,4,1,1.96,1
cabalango,4,2,1.16,0
cabalango,4,3,1.94,1
cabalango,4,4,0.85,0
cabalango,4,5,1.1,0
cabalango,5,1,2.1,1
cabalango,5,2,1.82,1
cabalango,5,3,1.02,0
cabalango,5,4,2.2,1
cabalango,5,5,1.84,1
cabalango,6,1,1.64,1
cabalango,6,2,0.73,0
cabalango,6,3,1.64,1
cabalango,6,4,1.77,1
cabalango,6,5,1.6,1
cabalango,7,1,0.67,0
cabalango,7,2,0.82,0
cabalango,7,3,1.8,1
cabalango,7,4,1.69,1
cabalango,7,5,0.67,0
cabalango,8,1,1.73,1
cabalango,8,2,1.92,1
cabalango,8,3,0.99,0
cabalango,8,4,1.97,1
cabalango,8,5,1.87,1
cabalango,9,1,0.96,0
cabalango,9,2,1.74,1
cabalango,9,3,1.82,1
cabalango,9,4,0.85,0
cabalango,9,5,1.68,1
cabalango,10,1,2.1,1
cabalango,10,2,1.92,1
cabalango,10,3,1.9,1
cabalango,10,4,1.57,1
cabalango,10,5,2.85,1
cm,1,1,0.62,0
cm,1,2,1.65,1
cm,1,3,0.85,0
cm,1,4,0.84,0
cm,1,5,1.91,1
cm,2,1,2.12,1
cm,2,2,2.26,1
cm,2,3,0.85,0
cm,2,4,0.98,0
cm,2,5,2.08,1
cm,3,1,1.6,1
cm,3,2,2.07,1
cm,3,3,0.98,0
cm,3,4,1.17,0
cm,3,5,1.9,1
cm,4,1,1.64,1
cm,4,2,0.81,0
cm,4,3,0.62,0
cm,4,4,0.65,0
cm,4,5,0.52,0
cm,5,1,1.01,0
cm,5,2,0.74,0
cm,5,3,0.67,0
cm,5,4,0.68,0
cm,5,5,1.63,1
cm,6,1,0.89,0
cm,6,2,0.84,0
cm,6,3,2.05,1
cm,6,4,2.37,1
cm,6,5,2.23,1
cm,7,1,0.81,0
cm,7,2,0.87,0
cm,7,3,0.53,0
cm,7,4,0.76,0
cm,7,5,2.2,1
cm,8,1,1.34,1
cm,8,2,1.33,1
cm,9,1,0.85,1
cm,9,2,2.25,0
cm,9,3,0.95,0
cm,9,4,0.79,0
cm,9,5,1.01,0
cm,10,1,1.26,1
cm,10,2,1.47,1
cm,10,3,0.68,0
cm,10,4,0.74,0
cm,10,5,1.8,1
cb,1,1,2.83,1
cb,1,2,2.8,1
cb,1,3,2.57,1
cb,1,4,2.48,1
cb,1,5,2.22,1
