"","X","pob","indiv","fruto","tiempo","sv","masa","l_cipsela","a_cisela","l_papus","altura_sitio","capitulos","altura_planta","prob_germ","germ","area_p","vol_c","pl_m","pl_v"
"1",0,"cb",1,1,2.264996,0.971304143583477,2.32,4.071,1.029,7.242,960,250,110,0.986030175137359,1,164.765740168427,1.69274577153375,0.0140805970806094,0.0102736513658931
"2",1,"cb",1,1,2.236164,0.983827662014056,2.32,4.071,1.029,7.242,960,250,110,0.986030175137359,1,164.765740168427,1.69274577153375,0.0140805970806094,0.0102736513658931
"3",2,"cb",1,1,2.275828,0.966681137590363,2.32,4.071,1.029,7.242,960,250,110,0.986030175137359,1,164.765740168427,1.69274577153375,0.0140805970806094,0.0102736513658931
"4",3,"cb",1,2,2.706264,0.812928819952525,2.19,3.822,0.936,7.515,960,250,110,0.974570913835723,1,177.422151969831,1.31492888586668,0.0123434417612768,0.00741130051274696
"5",4,"cb",1,2,2.744892,0.801488728882594,2.19,3.822,0.936,7.515,960,250,110,0.974570913835723,1,177.422151969831,1.31492888586668,0.0123434417612768,0.00741130051274696
"6",5,"cb",1,2,2.67834,0.821404302665084,2.19,3.822,0.936,7.515,960,250,110,0.974570913835723,1,177.422151969831,1.31492888586668,0.0123434417612768,0.00741130051274696
"7",6,"cb",1,3,2.121188,1.03715465107289,2.14,4.071,1.108,6.976,960,250,110,0.968053517893261,1,152.884274451662,1.96263938104419,0.013997515491213,0.0128374182896405
"8",7,"cb",1,3,2.152384,1.02212244655229,2.14,4.071,1.108,6.976,960,250,110,0.968053517893261,1,152.884274451662,1.96263938104419,0.013997515491213,0.0128374182896405
"9",8,"cb",1,3,2.168296,1.01462161992643,2.14,4.071,1.108,6.976,960,55,84,0.968053517893261,1,152.884274451662,1.96263938104419,0.013997515491213,0.0128374182896405
"10",9,"cm",1,1,4.326924,0.508444335976319,0.7,3.621,1.002,6.761,1170,38,66,0.03378821973547,0,143.605721920954,1.4276569161839,0.00487445758174807,0.00994150439889671
"11",10,"cm",1,1,4.335888,0.507393179897636,0.7,3.621,1.002,6.761,1170,38,66,0.03378821973547,0,143.605721920954,1.4276569161839,0.00487445758174807,0.00994150439889671
"12",11,"cm",1,1,4.373372,0.50304433283974,0.7,3.621,1.002,6.761,1170,38,66,0.03378821973547,0,143.605721920954,1.4276569161839,0.00487445758174807,0.00994150439889671
"13",12,"cm",1,2,4.40674,0.49923526234813,0.56,3.65,0.987,6.871,1170,38,66,0.0177941671331206,0,148.316602936865,1.39632674177568,0.00377570675778206,0.00941450056248971
"14",13,"cm",1,2,4.3208,0.509164969450102,0.56,3.65,0.987,6.871,1170,38,66,0.0177941671331206,0,148.316602936865,1.39632674177568,0.00377570675778206,0.00941450056248971
"15",14,"cm",1,2,4.571604,0.481231532739931,0.56,3.65,0.987,6.871,1170,38,66,0.0177941671331206,0,148.316602936865,1.39632674177568,0.00377570675778206,0.00941450056248971
"16",15,"cm",1,3,3.629012,0.606225606308273,0.91,3.709,0.918,6.859,1170,38,66,0.0857410756767458,0,147.79899413126,1.22744511389259,0.00615701077905735,0.00830482724938236
"17",16,"cm",1,3,3.617328,0.608183720138179,0.91,3.709,0.918,6.859,1170,38,66,0.0857410756767458,0,147.79899413126,1.22744511389259,0.00615701077905735,0.00830482724938236
"18",17,"cm",1,3,3.640764,0.604268774356152,0.91,3.709,0.918,6.859,1170,38,66,0.0857410756767458,0,147.79899413126,1.22744511389259,0.00615701077905735,0.00830482724938236
"19",18,"ca",1,1,2.209056,0.995900511349645,2.51,4.24,1.05,7.502,1350,477,67,0.994230163597393,1,176.808847110404,1.83571112730886,0.0141961222021469,0.0103824619486523
"20",19,"ca",1,1,2.185904,1.00644859060599,2.51,4.24,1.05,7.502,1350,477,67,0.994230163597393,1,176.808847110404,1.83571112730886,0.0141961222021469,0.0103824619486523
"21",20,"ca",1,1,2.18426,1.00720610183769,2.51,4.24,1.05,7.502,1350,477,67,0.994230163597393,1,176.808847110404,1.83571112730886,0.0141961222021469,0.0103824619486523
"22",21,"ca",1,2,3.840208,0.572885635361418,1.08,4.001,1.122,7.493,1350,477,67,0.172473795058663,0,176.384873473839,1.97794472565163,0.00612297403246534,0.011213800178534
"23",22,"ca",1,2,3.871796,0.568211754958164,1.08,4.001,1.122,7.493,1350,477,67,0.172473795058663,0,176.384873473839,1.97794472565163,0.00612297403246534,0.011213800178534
"24",23,"ca",1,2,3.894664,0.564875429562088,1.08,4.001,1.122,7.493,1350,477,67,0.172473795058663,0,176.384873473839,1.97794472565163,0.00612297403246534,0.011213800178534
"25",24,"ca",1,3,2.496596,0.881199841704465,2.46,4.092,0.877,7.516,1350,477,67,0.99271370170748,1,177.469373249007,1.23593234321615,0.0138615466712016,0.00696420075525946
"26",25,"ca",1,3,2.557196,0.860317316310522,2.46,4.092,0.877,7.516,1350,477,67,0.99271370170748,1,177.469373249007,1.23593234321615,0.0138615466712016,0.00696420075525946
"27",26,"ca",1,3,2.469232,0.89096528799238,2.46,4.092,0.877,7.516,1350,477,67,0.99271370170748,1,177.469373249007,1.23593234321615,0.0138615466712016,0.00696420075525946
"28",27,"cabal",1,1,2.669832,0.824021886021293,2.08,4.08,1,8.4,NA,1200,65,0.958088154555519,1,221.670777637296,1.60221225333079,0.00938328462673306,0.00722789115646259
"29",28,"cabal",1,1,2.713284,0.810825553093594,2.08,4.08,1,8.4,NA,1200,65,0.958088154555519,1,221.670777637296,1.60221225333079,0.00938328462673306,0.00722789115646259
"30",29,"cabal",1,1,2.660596,0.826882397778543,2.08,4.08,1,8.4,NA,1200,65,0.958088154555519,1,221.670777637296,1.60221225333079,0.00938328462673306,0.00722789115646259
"31",30,"cabal",1,2,2.439672,0.901760564534905,1.52,4.15,0.97,8.27,NA,1200,65,0.622161749865811,1,214.862632197701,1.53338584877687,0.00707428734560695,0.00713658691179932
"32",31,"cabal",1,2,2.43076,0.905066728101499,1.52,4.15,0.97,8.27,NA,1200,65,0.622161749865811,1,214.862632197701,1.53338584877687,0.00707428734560695,0.00713658691179932
"33",32,"cabal",1,2,2.43932,0.901890690848269,1.52,4.15,0.97,8.27,NA,1200,65,0.622161749865811,1,214.862632197701,1.53338584877687,0.00707428734560695,0.00713658691179932
"34",36,"candonga",1,1,3.189688,0.689722631178974,0.82,3.473,1.068,7.633,NA,35,120,0.0578907942295507,0,183.037635740787,1.55563309684352,0.00447995297077188,0.00849897940687221
"35",37,"candonga",1,1,3.092772,0.711335979503177,0.82,3.473,1.068,7.633,NA,35,120,0.0578907942295507,0,183.037635740787,1.55563309684352,0.00447995297077188,0.00849897940687221
"36",38,"candonga",1,1,3.128504,0.70321150300591,0.82,3.473,1.068,7.633,NA,35,120,0.0578907942295507,0,183.037635740787,1.55563309684352,0.00447995297077188,0.00849897940687221
"37",39,"candonga",1,2,3.85996,0.569954092788526,1.01,3.13,0.901,7.666,NA,35,120,0.130445540964109,0,184.623722199027,0.997823677605192,0.00547058627120087,0.00540463417008528
"38",40,"candonga",1,2,4.00152,0.549791079389832,1.01,3.13,0.901,7.666,NA,35,120,0.130445540964109,0,184.623722199027,0.997823677605192,0.00547058627120087,0.00540463417008528
"39",41,"candonga",1,2,4.053072,0.542798154091514,1.01,3.13,0.901,7.666,NA,35,120,0.130445540964109,0,184.623722199027,0.997823677605192,0.00547058627120087,0.00540463417008528
"40",42,"candonga",1,3,2.829724,0.777460982060441,2.18,3.051,0.985,7.582,NA,35,120,0.973380420720257,1,180.599869797344,1.16245072941703,0.012070883564015,0.00643660890077855
"41",43,"candonga",1,3,2.705064,0.81328944527745,2.18,3.051,0.985,7.582,NA,35,120,0.973380420720257,1,180.599869797344,1.16245072941703,0.012070883564015,0.00643660890077855
"42",44,"candonga",1,3,2.772508,0.793505374916862,2.18,3.051,0.985,7.582,NA,35,120,0.973380420720257,1,180.599869797344,1.16245072941703,0.012070883564015,0.00643660890077855
"43",45,"cb",2,1,2.137664,1.02916080356876,2.73,4.243,0.936,6.419,960,55,84,0.997939593992702,1,129.444804539339,1.45977060772692,0.0210900700859751,0.0112771664565594
"44",46,"cb",2,1,2.135636,1.03013809469404,2.73,4.243,0.936,6.419,960,55,84,0.997939593992702,1,129.444804539339,1.45977060772692,0.0210900700859751,0.0112771664565594
"45",47,"cb",2,1,2.150616,1.02296272323837,2.73,4.243,0.936,6.419,960,55,84,0.997939593992702,1,129.444804539339,1.45977060772692,0.0210900700859751,0.0112771664565594
"46",48,"cb",2,2,2.77034,0.794126352722049,0.92,4.093,1.144,6.528,960,55,84,0.0894958547064103,0,133.878292348716,2.10355406810515,0.00687191316724936,0.0157124357593834
"47",49,"cb",2,2,2.757864,0.797718814270755,0.92,4.093,1.144,6.528,960,55,84,0.0894958547064103,0,133.878292348716,2.10355406810515,0.00687191316724936,0.0157124357593834
"48",50,"cb",2,2,2.7171,0.809686798424791,0.92,4.093,1.144,6.528,960,55,84,0.0894958547064103,0,133.878292348716,2.10355406810515,0.00687191316724936,0.0157124357593834
"49",51,"cb",2,3,3.063228,0.718196621341931,1.52,4.49,0.977,6.831,960,55,84,0.622161749865811,1,146.594758835286,1.68304355127906,0.0103687199465833,0.0114809258165234
"50",52,"cb",2,3,3.081296,0.713985284114217,1.52,4.49,0.977,6.831,960,55,84,0.622161749865811,1,146.594758835286,1.68304355127906,0.0103687199465833,0.0114809258165234
"51",53,"cb",2,3,3.045636,0.722345020875771,1.52,4.49,0.977,6.831,960,55,84,0.622161749865811,1,146.594758835286,1.68304355127906,0.0103687199465833,0.0114809258165234
"52",54,"cm",2,1,2.179892,1.00922431019518,2.1,4.407,0.887,6.117,1170,180,104,0.961702577435521,1,117.551136876708,1.36160198500637,0.0178645656332747,0.0115830609654968
"53",55,"cm",2,1,2.14716,1.02460925129008,2.1,4.407,0.887,6.117,1170,180,104,0.961702577435521,1,117.551136876708,1.36160198500637,0.0178645656332747,0.0115830609654968
"54",56,"cm",2,1,2.160968,1.01806227579492,2.1,4.407,0.887,6.117,1170,180,104,0.961702577435521,1,117.551136876708,1.36160198500637,0.0178645656332747,0.0115830609654968
"55",57,"cm",2,2,2.318616,0.948841895337563,2.12,4.355,1.046,6.402,1170,180,104,0.965016678627944,1,128.76007242934,1.87116210759504,0.0164647313410249,0.0145321610363483
"56",58,"cm",2,2,2.351184,0.935698779848791,2.12,4.355,1.046,6.402,1170,180,104,0.965016678627944,1,128.76007242934,1.87116210759504,0.0164647313410249,0.0145321610363483
"57",59,"cm",2,2,2.350584,0.93593762231003,2.12,4.355,1.046,6.402,1170,180,104,0.965016678627944,1,128.76007242934,1.87116210759504,0.0164647313410249,0.0145321610363483
"58",60,"cm",2,3,2.327096,0.945384290119531,1.54,4.188,0.993,6.613,1170,180,104,0.6439810287669,1,137.387404218886,1.62167960816005,0.0112091789546185,0.0118036993083907
"59",61,"cm",2,3,2.324176,0.946572032410626,1.54,4.188,0.993,6.613,1170,180,104,0.6439810287669,1,137.387404218886,1.62167960816005,0.0112091789546185,0.0118036993083907
"60",62,"cm",2,3,2.3412,0.939689048351273,1.54,4.188,0.993,6.613,1170,180,104,0.6439810287669,1,137.387404218886,1.62167960816005,0.0112091789546185,0.0118036993083907
"61",63,"ca",2,1,4.609228,0.477303357525382,0.71,3.919,1.037,7.134,1350,1925,86,0.0353558584113133,0,159.888078281722,1.65497966522733,0.00444060625176183,0.0103508634478129
"62",64,"ca",2,1,4.43876,0.49563391577828,0.71,3.919,1.037,7.134,1350,1925,86,0.0353558584113133,0,159.888078281722,1.65497966522733,0.00444060625176183,0.0103508634478129
"63",65,"ca",2,1,4.406496,0.499262906400006,0.71,3.919,1.037,7.134,1350,1925,86,0.0353558584113133,0,159.888078281722,1.65497966522733,0.00444060625176183,0.0103508634478129
"64",66,"ca",2,2,3.309456,0.664761821882509,1.85,4.089,1.051,7.179,1350,1925,86,0.885839551947081,1,161.91153098601,1.77370923942654,0.0114259928785421,0.0109548049396173
"65",67,"ca",2,2,3.422504,0.642804215860668,1.85,4.089,1.051,7.179,1350,1925,86,0.885839551947081,1,161.91153098601,1.77370923942654,0.0114259928785421,0.0109548049396173
"66",68,"ca",2,2,3.30212,0.666238658801013,1.85,4.089,1.051,7.179,1350,1925,86,0.885839551947081,1,161.91153098601,1.77370923942654,0.0114259928785421,0.0109548049396173
"67",69,"ca",2,3,4.24121,0.518719893615265,0.96,4.024,1.049,6.488,1350,1925,86,0.106034423935253,0,132.242653549551,1.73887688389424,0.00725938246271118,0.0131491378705789
"68",70,"ca",2,3,4.087652,0.538206285662282,0.96,4.024,1.049,6.488,1350,1925,86,0.106034423935253,0,132.242653549551,1.73887688389424,0.00725938246271118,0.0131491378705789
