,pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta,prob_germ,germ
0,cb,1,1,2264996,,2.32,4.071,1.029,7.242,960.0,250,110,0.9860301751373592,1
1,cb,1,1,2236164,,2.32,4.071,1.029,7.242,960.0,250,110,0.9860301751373592,1
2,cb,1,1,2275828,,2.32,4.071,1.029,7.242,960.0,250,110,0.9860301751373592,1
3,cb,1,2,2706264,,2.19,3.822,0.936,7.515,960.0,250,110,0.9745709138357231,1
4,cb,1,2,2744892,,2.19,3.822,0.936,7.515,960.0,250,110,0.9745709138357231,1
5,cb,1,2,2678340,,2.19,3.822,0.936,7.515,960.0,250,110,0.9745709138357231,1
6,cb,1,3,2121188,,2.14,4.071,1.108,6.976,960.0,250,110,0.9680535178932612,1
7,cb,1,3,2152384,,2.14,4.071,1.108,6.976,960.0,250,110,0.9680535178932612,1
8,cb,1,3,2168296,,2.14,4.071,1.108,6.976,960.0,55,84,0.9680535178932612,1
9,cm,1,1,4326924,,0.7,3.621,1.002,6.761,1170.0,38,66,0.03378821973547005,0
10,cm,1,1,4335888,,0.7,3.621,1.002,6.761,1170.0,38,66,0.03378821973547005,0
11,cm,1,1,4373372,,0.7,3.621,1.002,6.761,1170.0,38,66,0.03378821973547005,0
12,cm,1,2,4406740,,0.56,3.65,0.987,6.871,1170.0,38,66,0.01779416713312056,0
13,cm,1,2,4320800,,0.56,3.65,0.987,6.871,1170.0,38,66,0.01779416713312056,0
14,cm,1,2,4571604,,0.56,3.65,0.987,6.871,1170.0,38,66,0.01779416713312056,0
15,cm,1,3,3629012,,0.91,3.709,0.918,6.859,1170.0,38,66,0.08574107567674577,0
16,cm,1,3,3617328,,0.91,3.709,0.918,6.859,1170.0,38,66,0.08574107567674577,0
17,cm,1,3,3640764,,0.91,3.709,0.918,6.859,1170.0,38,66,0.08574107567674577,0
18,ca,1,1,2209056,,2.51,4.24,1.05,7.502,1350.0,477,67,0.9942301635973926,1
19,ca,1,1,2185904,,2.51,4.24,1.05,7.502,1350.0,477,67,0.9942301635973926,1
20,ca,1,1,2184260,,2.51,4.24,1.05,7.502,1350.0,477,67,0.9942301635973926,1
21,ca,1,2,3840208,,1.08,4.001,1.122,7.493,1350.0,477,67,0.1724737950586628,0
22,ca,1,2,3871796,,1.08,4.001,1.122,7.493,1350.0,477,67,0.1724737950586628,0
23,ca,1,2,3894664,,1.08,4.001,1.122,7.493,1350.0,477,67,0.1724737950586628,0
24,ca,1,3,2496596,,2.46,4.092,0.877,7.516,1350.0,477,67,0.9927137017074804,1
25,ca,1,3,2557196,,2.46,4.092,0.877,7.516,1350.0,477,67,0.9927137017074804,1
